name,city,state,location,size_category,type,college_years,college_public_private,acceptance_rate,sat_25th_percentile,sat_50th_percentile,sat_75th_percentile,act_25th_percentile,act_50th_percentile,act_75th_percentile,tuition_in_state,tuition_out_state,room_board,graduation_rate,retention_rate,enrollment,student_faculty_ratio,num_majors,college_board_code,region,popular_majors,median_earnings_10_years,campus_setting,test_optional,gpa_optional,application_deadline_fall,application_fee,average_financial_aid,avg_after_aid,avg_after_aid_costs,percent_receiving_aid,transfer_acceptance_rate,latitude,longitude,housing_available,url,ipeds_id,rating
State University of New York College of Agriculture and Technology at Cobleskill,,,,Small,Public,,,0.6,,1100,,,25,,,20000,13000,0.6,0.75,2000,,,,,,,Rural,true,false,2024-01-15,,8000,8000,20000,0.65,,,,,,,48
State University of New York College of Environmental Science and Forestry,,,,Small,Public,,,0.5,,1200,,,26,,,25000,15000,0.7,0.85,2000,,,,,,,Urban,false,false,2024-01-15,,12000,12000,25000,0.75,,,,,,,54
State University of New York College of Optometry,,,,Small,Public,,,0.4,,1300,,,28,,,30000,12000,0.85,0.9,500,,,,,,,Urban,false,false,2024-01-15,,8000,8000,30000,0.6,,,,,,,60
State University of New York College of Technology at Alfred,,,,Small,Public,,,0.6,,1100,,,25,,,18000,12000,0.6,0.75,2000,,,,,,,Rural,true,false,2024-01-01,,7000,7000,18000,0.6,,,,,,,48
State University of New York College of Technology at Farmingdale,,,,Medium,Public,,,0.5,,1150,,,24,,,19500,13000,0.6,0.75,8000,,,,,,,Suburban,true,false,2024-01-15,,8000,8000,19500,0.6,,,,,,,52
State University of New York Downstate Medical Center,,,,Medium,Public,,,0.5,,1250,,,27,,,30000,12000,0.65,0.85,5000,,,,,,,Urban,false,false,2024-01-01,,8000,8000,30000,0.6,,,,,,,56
State University of New York Empire State College,,,,Medium,Public,,,0.65,,1100,,,25,,,15000,12000,0.55,0.75,7000,,,,,,,Suburban,true,false,2024-01-01,,8000,8000,15000,0.65,,,,,,,48
State University of New York Health Science Centre Syracuse,,,,Medium,Public,,,0.5,,1300,,,28,,,30000,13000,0.65,0.85,8000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,30000,0.6,,,,,,,57
State University of New York Institute of Technology at Utica/Rome,,,,Small,Public,,,0.65,,1100,,,23,,,20000,15000,0.6,0.75,3000,,,,,,,Suburban,true,false,2023-08-01,,12000,12000,20000,0.8,,,,,,,46
State University of New York Maritime College,,,,Small,Public,,,0.6,,1150,,,25,,,25000,15000,0.7,0.8,1500,,,,,,,Urban,false,false,2024-01-15,,12000,12000,25000,0.75,,,,,,,49
State University of New York School of Engineering and Applied Sciences,,,,Medium,Public,,,0.4,,1300,,,28,,,25000,14000,0.7,0.85,15000,,,,,,,Urban,true,false,2024-01-01,,8000,8000,25000,0.6,,,,,,,61
State University of New York Upstate Medical University,,,,Small,Public,,,0.4,,1300,,,28,,,30000,12000,0.7,0.85,3000,,,,,,,Urban,false,false,2024-01-15,,8000,8000,30000,0.6,,,,,,,59
State University of West Georgia,,,,Medium,Public,,,0.6,,1100,,,25,,,24000,12000,0.5,0.7,12000,,,,,,,Suburban,true,false,2024-01-01,,7000,7000,24000,0.6,,,,,,,48
Stefan University,,,,Large,Public,,,0.5,,1250,,,26,,,36000,13000,0.65,0.75,20000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,36000,0.6,,,,,,,55
Stephen F. Austin State University,,,,Medium,Public,,,0.6,,1100,,,25,,,25000,12000,0.6,0.75,13000,,,,,,,Rural,true,false,2024-01-15,,8000,8000,25000,0.65,,,,,,,51
Stephens College,,,,Small,Private,,,0.5,,1100,,,25,,,25000,13000,0.6,0.75,800,,,,,,,Urban,true,false,2024-01-15,,20000,20000,25000,0.7,,,,,,,49
Sterling College,,,,Small,Private,,,0.6,,1100,,,25,,,25000,12000,0.6,0.7,500,,,,,,,Rural,true,false,2024-01-15,,15000,15000,25000,0.7,,,,,,,46
Stetson University,,,,Small,Private,,,0.45,,1230,,,27,,,50000,13000,0.71,0.83,3500,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,50000,0.75,,,,,,,57
Stevens Institute of Technology,,,,Medium,Private,,,0.3,,1400,,,32,,,57000,15000,0.85,0.9,7000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,57000,0.7,,,,,,,69
Stillman College,,,,Small,Private,,,0.6,,1100,,,25,,,12000,12000,0.5,0.7,800,,,,,,,Urban,true,false,Rolling,,10000,10000,12000,0.7,,,,,,,44
Stonehill College,,,,Small,Private,,,0.45,,1250,,,27,,,49000,15000,0.85,0.87,2500,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,49000,0.8,,,,,,,59
Strayer University,,,,Large,Private For-Profit,,,0.7,,1000,,,20,,,15000,12000,0.5,0.7,20000,,,,,,,Urban,true,false,Rolling,,8000,8000,15000,0.6,,,,,,,42
Suffolk University,,,,Medium,Private,,,0.45,,1250,,,27,,,50000,14000,0.68,0.85,6000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,50000,0.75,,,,,,,58
Sul Ross State University,,,,Small,Public,,,0.7,,1050,,,21,,,20000,12000,0.5,0.7,3000,,,,,,,Rural,true,false,2024-08-01,,8000,8000,20000,0.6,,,,,,,41
Sullivan College,,,,Small,Private For-Profit,,,0.7,,1100,,,25,,,15000,12000,0.6,0.7,1000,,,,,,,Urban,true,false,Rolling,,8000,8000,15000,0.6,,,,,,,43
Susquehanna University,,,,Small,Private,,,0.6,,1200,,,25,,,50000,13000,0.7,0.8,2500,,,,,,,Rural,true,false,2024-01-15,,20000,20000,50000,0.8,,,,,,,50
Swarthmore College,,,,Small,Private,,,0.12,,1450,,,32,,,60000,15000,0.94,0.95,1600,,,,,,,Suburban,true,false,2024-01-01,,30000,30000,60000,0.85,,,,,,,77
Sweet Briar College,,,,Small,Private,,,0.5,,1200,,,25,,,46000,14000,0.7,0.8,700,,,,,,,Rural,true,false,2024-01-15,,20000,20000,46000,0.8,,,,,,,51
Syracuse University,,,,Large,Private,,,0.45,,1300,,,28,,,50000,14000,0.83,0.87,21000,,,,,,,Urban,true,false,2024-01-01,,15000,15000,50000,0.65,,,,,,,62
Tabor College,,,,Small,Private,,,0.5,,1100,,,24,,,25000,12000,0.6,0.7,700,,,,,,,Rural,true,false,2024-01-01,,15000,15000,25000,0.7,,,,,,,48
Talladega College,,,,Small,Private,,,0.7,,1000,,,20,,,12000,12000,0.5,0.7,800,,,,,,,Rural,true,false,2024-07-01,,10000,10000,12000,0.7,,,,,,,38
Tarleton State University,,,,Medium,Public,,,0.6,,1100,,,25,,,25000,12000,0.55,0.75,13000,,,,,,,Rural,true,false,2024-01-15,,8000,8000,25000,0.6,,,,,,,50
Taylor University,,,,Small,Private,,,0.5,,1200,,,25,,,34000,12000,0.78,0.85,2000,,,,,,,Rural,true,false,2024-01-15,,20000,20000,34000,0.75,,,,,,,54
"Taylor University, Fort Wayne Campus",,,,Small,Private,,,0.6,,1200,,,25,,,32000,12000,0.7,0.8,1200,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,32000,0.7,,,,,,,49
"Teachers College, Columbia University",,,,Medium,Private,,,0.25,,1350,,,30,,,40000,15000,0.85,0.9,5000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,40000,0.75,,,,,,,69
Temple University,,,,Large,Public,,,0.5,,1220,,,25,,,30000,14000,0.7,0.85,38000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,30000,0.6,,,,,,,55
Temple University School of Podiatric Medicine,,,,Small,Public,,,0.5,,1300,,,28,,,30000,12000,0.7,0.8,3000,,,,,,,Urban,true,false,2024-01-15,,10000,10000,30000,0.7,,,,,,,56
Tennessee State University,,,,Medium,Public,,,0.6,,1100,,,23,,,25000,12000,0.5,0.7,8000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,25000,0.6,,,,,,,47
Tennessee Technological University,,,,Medium,Public,,,0.6,,1150,,,25,,,24000,12000,0.58,0.75,10000,,,,,,,Suburban,true,false,2024-01-15,,8000,8000,24000,0.65,,,,,,,50
Tennessee Temple University,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.6,0.7,800,,,,,,,Urban,true,false,2024-01-15,,20000,20000,20000,0.7,,,,,,,46
Tennessee Wesleyan College,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.6,0.7,800,,,,,,,Rural,true,false,Rolling,,15000,15000,20000,0.7,,,,,,,46
Texas A&M International University,,,,Medium,Public,,,0.6,,1100,,,25,,,20000,12000,0.5,0.7,8000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,20000,0.6,,,,,,,48
Texas A&M University,,,,Large,Public,,,0.6,,1300,,,28,,,38000,12000,0.7,0.9,68000,,,,,,,Suburban,false,false,2024-01-15,,8000,8000,38000,0.6,,,,,,,54
Texas A&M University - Commerce,,,,Medium,Public,,,0.65,,1100,,,24,,,25000,12000,0.58,0.75,12000,,,,,,,Rural,true,false,2024-01-15,,8000,8000,25000,0.65,,,,,,,48
Texas A&M University - Corpus Christi,,,,Medium,Public,,,0.5,,1150,,,24,,,25000,12000,0.6,0.75,12000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,25000,0.6,,,,,,,53
Texas A&M University - Galveston,,,,Medium,Public,,,0.5,,1200,,,25,,,30000,12000,0.6,0.8,5000,,,,,,,Urban,false,false,2024-01-15,,8000,8000,30000,0.6,,,,,,,53
Texas A&M University - Kingsville,,,,Medium,Public,,,0.65,,1100,,,24,,,21000,12000,0.55,0.75,8000,,,,,,,Rural,true,false,2024-01-15,,8000,8000,21000,0.6,,,,,,,47
Texas A&M University - Texarkana,,,,Small,Public,,,0.6,,1100,,,25,,,20000,12000,0.5,0.7,3000,,,,,,,Suburban,true,false,2024-08-01,,7000,7000,20000,0.6,,,,,,,47
Texas Chiropractic College,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.7,0.8,500,,,,,,,Suburban,true,false,Rolling,,15000,15000,20000,0.7,,,,,,,48
Texas Christian University,,,,Medium,Private,,,0.4,,1300,,,28,,,48000,13000,0.75,0.85,10000,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,48000,0.75,,,,,,,62
Texas College,,,,Small,Private,,,0.6,,1000,,,20,,,15000,12000,0.5,0.7,800,,,,,,,Urban,true,false,Rolling,,8000,8000,15000,0.7,,,,,,,41
Texas College of Osteopathic Medicine,,,,Small,Public,,,0.4,,1300,,,28,,,45000,12000,0.7,0.85,800,,,,,,,Urban,false,false,2024-01-15,,8000,8000,45000,0.6,,,,,,,57
Texas Lutheran University,,,,Small,Private,,,0.6,,1100,,,25,,,35000,12000,0.6,0.7,1200,,,,,,,Rural,true,false,2024-01-15,,15000,15000,35000,0.7,,,,,,,46
Texas Southern University,,,,Medium,Public,,,0.7,,1000,,,20,,,20000,12000,0.5,0.7,9000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,20000,0.6,,,,,,,42
Texas Tech University,,,,Large,Public,,,0.67,,1200,,,25,,,25000,12000,0.63,0.8,38000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,25000,0.6,,,,,,,48
Texas Tech University Health Science Center,,,,Medium,Public,,,0.5,,1200,,,25,,,25000,12000,0.6,0.8,5000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,25000,0.6,,,,,,,53
Texas Wesleyan University,,,,Small,Private,,,0.5,,1100,,,24,,,30000,12000,0.6,0.7,2500,,,,,,,Urban,true,false,2024-01-15,,15000,15000,30000,0.7,,,,,,,50
Texas Woman's University,,,,Medium,Public,,,0.5,,1150,,,24,,,25000,12000,0.6,0.75,15000,,,,,,,Suburban,true,false,2024-01-15,,8000,8000,25000,0.65,,,,,,,53
The American College,,,,Small,Private,,,0.5,,1200,,,25,,,20000,12000,0.7,0.8,1500,,,,,,,Urban,true,false,2024-01-15,,20000,20000,20000,0.7,,,,,,,52
The Art Institute of Boston,,,,Small,Private For-Profit,,,0.6,,1200,,,25,,,30000,15000,0.6,0.7,1500,,,,,,,Urban,true,false,Rolling,,20000,20000,30000,0.7,,,,,,,47
The Art Institutes International Portland,,,,Small,Private For-Profit,,,0.7,,1100,,,25,,,20000,12000,0.6,0.7,1500,,,,,,,Urban,true,false,Rolling,,15000,15000,20000,0.7,,,,,,,44
The Art Institutes International San Francisco,,,,Small,Private For-Profit,,,0.6,,1100,,,25,,,25000,12000,0.65,0.75,1500,,,,,,,Urban,true,false,Rolling,,15000,15000,25000,0.7,,,,,,,48
The Boston Conservatory,,,,Small,Private,,,0.25,,1300,,,28,,,50000,15000,0.85,0.9,800,,,,,,,Urban,true,false,2024-01-15,,20000,20000,50000,0.75,,,,,,,64
The Catholic University of America,,,,Medium,Private,,,0.65,,1250,,,27,,,50000,13000,0.78,0.85,6000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,50000,0.75,,,,,,,54
The Chicago School of Professional Psychology,,,,Small,Private For-Profit,,,0.5,,1100,,,25,,,25000,12000,0.7,0.8,3000,,,,,,,Urban,true,false,Rolling,,20000,20000,25000,0.8,,,,,,,54
The College of Insurance,,,,Small,Private,,,0.5,,1200,,,25,,,30000,12000,0.7,0.8,1000,,,,,,,Urban,true,false,2024-01-01,,20000,20000,30000,0.7,,,,,,,52
The College of New Jersey,,,,Medium,Public,,,0.4,,1300,,,28,,,32000,14000,0.85,0.9,7000,,,,,,,Suburban,true,false,2024-01-01,,8000,8000,32000,0.6,,,,,,,64
The College of Santa Fe,,,,Small,Private,,,0.5,,1150,,,24,,,20000,12000,0.65,0.75,800,,,,,,,Urban,true,false,2024-01-15,,20000,20000,20000,0.75,,,,,,,49
The College of St. Scholastica,,,,Small,Private,,,0.6,,1150,,,24,,,32000,12000,0.7,0.8,3000,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,32000,0.75,,,,,,,50
The College of Westchester,,,,Small,Private For-Profit,,,0.7,,1100,,,25,,,20000,12000,0.6,0.7,1000,,,,,,,Suburban,true,false,Rolling,,15000,15000,20000,0.7,,,,,,,43
The College of Wooster,,,,Small,Private,,,0.4,,1300,,,28,,,60000,14000,0.85,0.88,2000,,,,,,,Suburban,true,false,2024-01-15,,25000,25000,60000,0.7,,,,,,,61
The Cooper Union for the Advancement of Science and Art,,,,Small,Private,,,0.1,,1450,,,32,,,50000,15000,0.85,0.95,1000,,,,,,,Urban,true,false,2024-01-01,,20000,20000,50000,0.8,,,,,,,75
The Corcoran College of Art,,,,Small,Private,,,0.5,,1250,,,27,,,45000,12000,0.7,0.8,1000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,45000,0.75,,,,,,,53
The Curtis Institute of Music,,,,Small,Private,,,0.1,,1450,,,32,,,50000,15000,0.9,0.95,300,,,,,,,Urban,true,false,2024-01-01,,20000,20000,50000,0.8,,,,,,,75
The Defiance College,,,,Small,Private,,,0.6,,1100,,,24,,,32000,12000,0.6,0.7,900,,,,,,,Rural,true,false,2024-01-15,,15000,15000,32000,0.7,,,,,,,45
The Dickinson School of Law,,,,Small,Private,,,0.4,,1400,,,32,,,50000,15000,0.85,0.9,600,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,50000,0.75,,,,,,,62
The Illinois Institute of Art-Chicago,,,,Small,Private For-Profit,,,0.7,,1100,,,24,,,20000,12000,0.6,0.7,1500,,,,,,,Urban,true,false,Rolling,,15000,15000,20000,0.7,,,,,,,43
The Johns Hopkins University,,,,Medium,Private,,,0.1,,1480,,,33,,,58000,15000,0.93,0.95,15000,,,,,,,Urban,true,false,2024-01-02,,20000,20000,58000,0.7,,,,,,,81
The Juilliard School,,,,Small,Private,,,0.1,,1450,,,32,,,52000,15000,0.9,0.95,800,,,,,,,Urban,true,false,2024-01-01,,25000,25000,52000,0.85,,,,,,,76
The Leadership Institute of Seattle,,,,Small,Private,,,0.5,,1200,,,25,,,20000,12000,0.7,0.8,1000,,,,,,,Urban,true,false,2024-01-15,,15000,15000,20000,0.7,,,,,,,52
"The Maryland Institute, College of Art",,,,Small,Private,,,0.35,,1300,,,28,,,55000,13000,0.75,0.85,2000,,,,,,,Urban,true,false,2024-01-15,,25000,25000,55000,0.75,,,,,,,61
The Master's College,,,,Small,Private,,,0.5,,1200,,,25,,,30000,12000,0.7,0.8,1200,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,30000,0.8,,,,,,,52
The McGregor School of Antioch University,,,,Small,Private,,,0.5,,1200,,,25,,,20000,12000,0.7,0.8,3000,,,,,,,Rural,true,false,2024-01-01,,20000,20000,20000,0.7,,,,,,,54
The Naropa Institute,,,,Small,Private,,,0.5,,1200,,,25,,,30000,12000,0.7,0.8,1000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,30000,0.7,,,,,,,52
The New School,,,,Medium,Private,,,0.4,,1350,,,30,,,50000,15000,0.85,0.85,10000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,50000,0.75,,,,,,,65
The Rockefeller University,,,,Small,Private,,,0.1,,1450,,,32,,,55000,15000,0.9,0.95,2000,,,,,,,Urban,true,false,2024-01-01,,20000,20000,55000,0.8,,,,,,,77
The School of the Art Institute of Chicago,,,,Small,Private,,,0.5,,1300,,,28,,,50000,15000,0.85,0.9,3000,,,,,,,Urban,true,false,2024-01-01,,20000,20000,50000,0.7,,,,,,,59
The Scripps Research Institute,,,,Small,Private,,,0.15,,1450,,,32,,,55000,15000,0.9,0.95,3000,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,55000,0.75,,,,,,,78
The Southern Christian University,,,,Small,Private,,,0.6,,1150,,,24,,,20000,12000,0.7,0.75,1500,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,20000,0.8,,,,,,,48
The Tulane University of New Orleans,,,,Medium,Private,,,0.15,,1440,,,32,,,60000,15000,0.85,0.93,13000,,,,,,,Urban,true,false,2024-01-15,,25000,25000,60000,0.75,,,,,,,79
The Union Institute,,,,Small,Private,,,0.65,,1100,,,24,,,20000,12000,0.65,0.75,1000,,,,,,,Urban,true,false,Rolling,,15000,15000,20000,0.7,,,,,,,45
Thiel College,,,,Small,Private,,,0.6,,1100,,,24,,,34000,12000,0.6,0.7,800,,,,,,,Rural,true,false,2024-01-15,,20000,20000,34000,0.7,,,,,,,45
Thomas A. Edison State College,,,,Medium,Public,,,0.6,,1100,,,25,,,24000,12000,0.5,0.7,7000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,24000,0.6,,,,,,,48
Thomas Aquinas College,,,,Small,Private,,,0.2,,1350,,,30,,,30000,12000,0.85,0.9,400,,,,,,,Rural,true,false,2024-01-15,,20000,20000,30000,0.75,,,,,,,67
Thomas College Maine,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.65,0.75,800,,,,,,,Suburban,true,false,2024-01-15,,15000,15000,20000,0.7,,,,,,,47
Thomas Jefferson University,,,,Medium,Private,,,0.55,,1250,,,27,,,35000,14000,0.7,0.85,8000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,35000,0.75,,,,,,,56
Thomas More College,,,,Small,Private,,,0.6,,1150,,,24,,,30000,12000,0.65,0.75,1500,,,,,,,Suburban,true,false,2024-01-15,,15000,15000,30000,0.7,,,,,,,47
Thomas More College of Liberal Arts,,,,Small,Private,,,0.5,,1200,,,25,,,30000,12000,0.7,0.8,500,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,30000,0.75,,,,,,,51
Thomas University,,,,Small,Private,,,0.6,,1100,,,25,,,12000,12000,0.6,0.7,1000,,,,,,,Rural,true,false,2024-08-01,,10000,10000,12000,0.7,,,,,,,46
Thunderbird School of Global Management,,,,Small,Private,,,0.3,,1300,,,28,,,45000,12000,0.85,0.9,1000,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,45000,0.8,,,,,,,63
Tiffin University,,,,Small,Private,,,0.6,,1100,,,24,,,15000,12000,0.5,0.7,2000,,,,,,,Suburban,true,false,2024-07-01,,8000,8000,15000,0.7,,,,,,,45
Toccoa Falls College,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.6,0.7,800,,,,,,,Rural,true,false,Rolling,,15000,15000,20000,0.7,,,,,,,46
Tomball College,,,,Small,Public,,,0.7,,1100,,,25,,,15000,12000,0.5,0.7,2000,,,,,,,Suburban,true,false,Rolling,,7000,7000,15000,0.6,,,,,,,43
Tougaloo College,,,,Small,Private,,,0.5,,1100,,,24,,,12000,12000,0.6,0.7,800,,,,,,,Suburban,true,false,2024-01-15,,10000,10000,12000,0.7,,,,,,,48
Touro College,,,,Medium,Private,,,0.5,,1150,,,24,,,20000,12000,0.65,0.75,10000,,,,,,,Urban,true,false,2024-01-01,,20000,20000,20000,0.75,,,,,,,53
Touro University,,,,Small,Private,,,0.5,,1200,,,25,,,20000,12000,0.7,0.8,3000,,,,,,,Suburban,true,false,2024-01-15,,15000,15000,20000,0.7,,,,,,,54
Towson University,,,,Large,Public,,,0.6,,1200,,,25,,,25000,13000,0.68,0.85,22000,,,,,,,Suburban,true,false,2024-01-15,,8000,8000,25000,0.6,,,,,,,52
Transylvania University,,,,Small,Private,,,0.5,,1200,,,25,,,40000,13000,0.7,0.8,1000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,40000,0.7,,,,,,,52
Trevecca Nazarene University,,,,Small,Private,,,0.5,,1150,,,24,,,21000,12000,0.6,0.7,2500,,,,,,,Urban,true,false,2024-01-15,,15000,15000,21000,0.7,,,,,,,50
Tri-College University,,,,Medium,Public,,,0.6,,1200,,,25,,,22000,12000,0.6,0.75,7000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,22000,0.6,,,,,,,50
Tri-State University,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.6,0.7,1500,,,,,,,Rural,true,false,2024-01-15,,10000,10000,20000,0.7,,,,,,,47
Trident University,,,,Medium,Private For-Profit,,,0.7,,1100,,,24,,,15000,12000,0.6,0.7,5000,,,,,,,Suburban,true,false,Rolling,,8000,8000,15000,0.6,,,,,,,46
Trinity Bible College,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.7,0.75,500,,,,,,,Rural,true,false,2024-08-01,,15000,15000,20000,0.8,,,,,,,48
Trinity Christian College,,,,Small,Private,,,0.5,,1150,,,25,,,30000,12000,0.7,0.8,1000,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,30000,0.8,,,,,,,52
Trinity College Connecticut,,,,Small,Private,,,0.35,,1350,,,30,,,60000,15000,0.87,0.88,2500,,,,,,,Urban,true,false,2024-01-15,,25000,25000,60000,0.75,,,,,,,65
Trinity College of Florida,,,,Small,Private,,,0.5,,1100,,,25,,,20000,12000,0.6,0.7,300,,,,,,,Suburban,true,false,2024-08-01,,15000,15000,20000,0.8,,,,,,,48
Trinity College of Vermont,,,,Small,Private,,,0.5,,1200,,,25,,,40000,12000,0.7,0.8,600,,,,,,,Urban,true,false,2024-01-15,,20000,20000,40000,0.75,,,,,,,51
Trinity International University,,,,Small,Private,,,0.5,,1200,,,25,,,30000,12000,0.7,0.75,1500,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,30000,0.8,,,,,,,52
"Trinity International University (Excel), Miami",,,,Small,Private,,,0.5,,1200,,,25,,,20000,12000,0.7,0.8,1000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,20000,0.75,,,,,,,52
Trinity University,,,,Small,Private,,,0.5,,1200,,,25,,,20000,13000,0.7,0.8,3000,,,,,,,Urban,true,false,2024-01-01,,25000,25000,20000,0.75,,,,,,,54
Trinity University,,,,Small,Private,,,0.3,,1350,,,30,,,48000,13000,0.85,0.9,2500,,,,,,,Urban,true,false,2024-01-15,,20000,20000,48000,0.7,,,,,,,66
Triton College,,,,Medium,Public,,,0.7,,1050,,,21,,,16000,12000,0.5,0.7,8000,,,,,,,Suburban,true,false,Rolling,,7000,7000,16000,0.6,,,,,,,42
Troy University,,,,Medium,Public,,,0.6,,1100,,,25,,,20000,12000,0.5,0.7,15000,,,,,,,Suburban,true,false,2024-08-01,,8000,8000,20000,0.6,,,,,,,49
"Troy University, Dothan",,,,Medium,Public,,,0.6,,1100,,,25,,,19000,12000,0.5,0.7,5000,,,,,,,Suburban,true,false,2024-08-01,,8000,8000,19000,0.6,,,,,,,48
"Troy University, Montgomery",,,,Medium,Public,,,0.6,,1100,,,24,,,20000,12000,0.5,0.7,8000,,,,,,,Urban,true,false,2024-06-01,,8000,8000,20000,0.6,,,,,,,47
"Troy University, Phenix City",,,,Medium,Public,,,0.6,,1100,,,25,,,18000,12000,0.5,0.7,5000,,,,,,,Suburban,true,false,2024-08-01,,8000,8000,18000,0.6,,,,,,,48
"Troy University, Troy",,,,Large,Public,,,0.6,,1100,,,25,,,20000,12000,0.54,0.75,17000,,,,,,,Rural,true,false,2024-08-01,,8000,8000,20000,0.6,,,,,,,50
Truman College,,,,Medium,Public,,,0.6,,1100,,,25,,,20000,12000,0.6,0.7,5000,,,,,,,Urban,true,false,2024-01-15,,8000,8000,20000,0.6,,,,,,,49
Truman State University,,,,Medium,Public,,,0.6,,1230,,,27,,,16000,12000,0.7,0.8,6000,,,,,,,Rural,true,false,2024-01-01,,8000,8000,16000,0.6,,,,,,,53
Tufts University,,,,Medium,Private,,,0.14,,1480,,,33,,,61000,15000,0.92,0.96,12000,,,,,,,Suburban,true,false,2024-01-01,,30000,30000,61000,0.75,,,,,,,81
Tui Online University,,,,Medium,Private For-Profit,,,0.7,,1100,,,25,,,12000,12000,0.6,0.7,15000,,,,,,,Urban,true,false,Rolling,,8000,8000,12000,0.6,,,,,,,47
Tusculum College,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.6,0.7,1000,,,,,,,Rural,true,false,2024-01-15,,15000,15000,20000,0.7,,,,,,,46
Tuskegee University,,,,Small,Public,,,0.5,,1100,,,24,,,20000,12000,0.6,0.7,3000,,,,,,,Rural,true,false,2024-01-15,,8000,8000,20000,0.6,,,,,,,50
Uniformed Services Universty of the Health Sciences,,,,Small,Public,,,0.2,,1400,,,32,,,30000,12000,0.85,0.9,1000,,,,,,,Suburban,false,false,2024-01-15,,10000,10000,30000,0.6,,,,,,,69
Union College,,,,Small,Private,,,0.3,,1350,,,30,,,60000,14000,0.85,0.9,2300,,,,,,,Suburban,true,false,2024-01-15,,25000,25000,60000,0.7,,,,,,,66
Union College Kentucky,,,,Small,Private,,,0.6,,1100,,,25,,,20000,12000,0.6,0.7,800,,,,,,,Rural,true,false,2024-08-01,,10000,10000,20000,0.7,,,,,,,46
Union College Nebraska,,,,Small,Private,,,0.5,,1150,,,24,,,29000,12000,0.7,0.8,800,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,29000,0.7,,,,,,,51
Union Theological Seminary (UTS),,,,Small,Private,,,0.4,,1300,,,28,,,30000,15000,0.85,0.9,500,,,,,,,Urban,true,false,2024-01-15,,20000,20000,30000,0.8,,,,,,,60
Union University,,,,Small,Private,,,0.5,,1200,,,25,,,30000,12000,0.7,0.8,3000,,,,,,,Suburban,true,false,2024-01-15,,20000,20000,30000,0.7,,,,,,,54
United States Air Force Academy,,,,Small,Public,,,0.12,,1350,,,30,,,0,12000,0.85,0.95,4000,,,,,,,Suburban,false,false,2024-01-01,,10000,10000,0,0.6,,,,,,,76
United States Coast Guard Academy,,,,Small,Public,,,0.2,,1350,,,30,,,0,14000,0.85,0.95,1000,,,,,,,Suburban,false,false,2024-01-15,,10000,10000,0,0.6,,,,,,,68
United States International University,,,,Medium,Private,,,0.5,,1200,,,25,,,25000,12000,0.7,0.8,5000,,,,,,,Urban,true,false,2024-01-15,,20000,20000,25000,0.7,,,,,,,55
United States Merchant Marine Academy,,,,Small,Public,,,0.2,,1300,,,28,,,0,15000,0.85,0.95,1000,,,,,,,Rural,false,false,2024-01-15,,10000,10000,0,0.6,,,,,,,67
